neighbourhood_name,cluster,cluster_label,n_locations,avg_weight,pct_no_washroom,pct_no_product,pct_desert,n_desert,dist_to_product_km,n_transit,pct_within_1500m,lim_at_pct,avg_immigrant_pop,avg_pop_1054,socio_weight,risk_score,centroid_lat,centroid_lon
Banbury-Don Mills,2,Moderate Service,26.0,2.923076923076923,0.8076923076923077,0.9615384615384616,0.9615384615384616,25.0,0.3796744225478703,258,0.5384615384615384,12.4,27075.0,22865.0,0.5901978594059911,0.6064991524379402,43.73600076923078,-79.35064615384614
Golfdale-Cedarbrae-Woburn,2,Moderate Service,12.0,2.8333333333333335,0.8333333333333334,0.9166666666666666,0.9166666666666666,11.0,0.05551109889052548,114,0.9166666666666666,21.6,26650.5,17561.0,0.6966454110047829,0.6062281707620014,43.75803,-79.22399999999999
Glenfield-Jane Heights,2,Moderate Service,17.0,2.764705882352941,0.7058823529411765,0.8823529411764706,0.8823529411764706,15.0,0.7340142137961971,140,0.9411764705882353,20.3,30120.0,27890.0,0.7917951994911593,0.6061383548322362,43.74632470588235,-79.51189411764706
Malvern East,2,Moderate Service,13.0,2.8461538461538463,0.7692307692307693,0.9230769230769231,0.9230769230769231,12.0,0.6634661312902592,143,0.6153846153846154,16.05,26081.5,17142.0,0.595989530228115,0.6007692567767512,43.80265846153846,-79.21833846153845
Junction-Wallace Emerson,2,Moderate Service,19.0,2.8947368421052633,0.7894736842105263,0.9473684210526315,0.9473684210526315,18.0,0.5724696833167203,75,1.0,14.15,23499.0,16793.5,0.5332435164595084,0.598940966918367,43.66708052631579,-79.44464210526316
Dorset Park,2,Moderate Service,10.0,2.8,0.7,0.9,0.9,9.0,1.055266678712646,155,0.5,17.65,24340.0,23095.0,0.6474971811623355,0.5989113883900863,43.757331,-79.27942
Victoria Village,2,Moderate Service,10.0,2.8,0.7,0.9,0.9,9.0,1.0072090640723381,98,0.6,21.75,17273.0,15612.5,0.5794210289400106,0.597342394956359,43.727036999999996,-79.31185
Willowridge-Martingrove-Richview,2,Moderate Service,14.0,2.857142857142857,0.6428571428571429,0.9285714285714286,0.9285714285714286,13.0,1.3415567136768733,121,0.5,12.25,22298.0,18905.0,0.50446173829076,0.5969675652796637,43.68301357142857,-79.55317857142856
Englemount-Lawrence,2,Moderate Service,13.0,2.8461538461538463,0.6923076923076923,0.9230769230769231,0.9230769230769231,12.0,0.7039188736787512,125,0.7692307692307693,17.35,21590.0,19395.0,0.5839577069368581,0.5943144164842997,43.72013384615385,-79.43851538461537
Bedford Park-Nortown,2,Moderate Service,14.0,2.9285714285714284,0.7857142857142857,0.9285714285714286,0.9285714285714286,13.0,1.2222880121145707,135,0.9285714285714286,8.3,22628.0,19575.0,0.4483335248087825,0.5884444413929022,43.728258571428576,-79.42075
