Name,Type,Address,Postal Code,Latitude,Longitude,Washroom,Product,Neighbourhood,neighbourhood_code,neighbourhood_name
Weston Rd at Oxford Dr,3,,,43.68791,-79.4918,,0,,115,Mount Dennis
Weston Rd at Ray Ave,3,,,43.68866,-79.494,,0,,115,Mount Dennis
Weston Rd at York Ave,3,,,43.68587,-79.4875,,0,,115,Mount Dennis
Weston Rd at York Ave North Side,3,,,43.68598,-79.4874,,0,,115,Mount Dennis
11 Thorncliffe Park Dr,3,,,43.70429,-79.3487,,0,,55,Thorncliffe Park
12 Thorncliffe Park Dr,3,,,43.70458,-79.3489,,0,,55,Thorncliffe Park
235 Carlaw Ave,3,,,43.66331,-79.3409,,0,,70,South Riverdale
250 Carlaw Ave,3,,,43.66288,-79.3409,,0,,70,South Riverdale
26 Thorncliffe Park Dr at Grandstand Pl,3,,,43.70313,-79.3463,,0,,55,Thorncliffe Park
35 Thorncliffe Park Dr,3,,,43.70191,-79.3444,,0,,55,Thorncliffe Park
38 Thorncliffe Park Dr,3,,,43.70213,-79.3445,,0,,55,Thorncliffe Park
44 Thorncliffe Park Dr,3,,,43.70245,-79.3427,,0,,55,Thorncliffe Park
49 Thorncliffe Park Dr,3,,,43.70244,-79.3425,,0,,55,Thorncliffe Park
56 Thorncliffe Park Dr,3,,,43.70454,-79.3418,,0,,55,Thorncliffe Park
75 Thorncliffe Park Dr,3,,,43.70495,-79.342,,0,,55,Thorncliffe Park
Carlaw Ave at Commissioners St,3,,,43.65271,-79.3357,,0,,70,South Riverdale
Carlaw Ave at Commissioners St North Side,3,,,43.65295,-79.3356,,0,,70,South Riverdale
Carlaw Ave at Dundas St East,3,,,43.66471,-79.3415,,0,,70,South Riverdale
Carlaw Ave at Dundas St East,3,,,43.66513,-79.3418,,0,,70,South Riverdale
Carlaw Ave at Eastern Ave,3,,,43.65846,-79.3391,,0,,70,South Riverdale
Carlaw Ave at Eastern Ave North Side,3,,,43.65875,-79.339,,0,,70,South Riverdale
Carlaw Ave at Gerrard St East,3,,,43.66771,-79.3429,,0,,68,North Riverdale
Carlaw Ave at Gerrard St East North Side,3,,,43.66814,-79.3429,,0,,68,North Riverdale
Carlaw Ave at Lake Shore Blvd East,3,,,43.6547,-79.3371,,0,,70,South Riverdale
Carlaw Ave at Lake Shore Blvd East,3,,,43.65595,-79.338,,0,,70,South Riverdale
Carlaw Ave at Lake Shore Blvd East South Side,3,,,43.65437,-79.3371,,0,,70,South Riverdale
Carlaw Ave at Langley Ave,3,,,43.66964,-79.3435,,0,,68,North Riverdale
Carlaw Ave at Langley Ave South Side,3,,,43.66982,-79.3438,,0,,68,North Riverdale
Carlaw Ave at Queen St East,3,,,43.66095,-79.3399,,0,,70,South Riverdale
Carlaw Ave at Queen St East,3,,,43.66132,-79.3403,,0,,70,South Riverdale
